client_id,sale_flg,sale_amount,contacts,feature_1,client_segment,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,region_cd
7513301859607023584,0,,1,7,13.0,571533.0,15717.0,0.0,0.0,0.0,571852.0,472605.0,10.4,12548.0,86.0
9157009756404187626,0,,1,3,13.0,3642369.0,94787.0,0.0,0.0,84823.0,3642369.0,3314257.0,8.9,77210.0,2.0
-1893104556496814867,0,,1,5,16.0,352826.0,5500.0,0.0,6822.0,0.0,265893.0,204534.0,8.9,5508.0,52.0
6886062013213911831,0,,1,4,3.0,6070615.0,40580.0,0.0,30401.0,0.0,2005731.0,1825051.0,7.9,40583.0,86.0
-8156468515495593794,1,138018.05000000002,1,7,14.0,3642369.0,97156.0,81488.0,0.0,160308.0,3642369.0,3314257.0,10.4,78108.0,27.0
-2918739578801888500,1,121907.95,1,7,1.0,4212398.0,151894.0,73012.0,161463.0,265647.0,3520957.0,567525.0,7.4,70386.0,77.0
-4569470415387261653,0,,2,1,8.0,1000940.0,15992.0,11534.0,0.0,83000.0,736973.0,624553.0,10.9,15987.0,56.0
497866795935220651,0,,1,13,3.0,6070615.0,1927.0,30014.0,33300.0,19302.0,94702.0,72847.0,7.9,1936.0,52.0
-2652197677327635516,0,,1,3,13.0,3642369.0,215107.0,4856.0,0.0,200452.0,3642369.0,3314257.0,8.9,77210.0,30.0
4830059491880827649,0,,1,6,3.0,771493.0,20573.0,0.0,48463.0,0.0,770968.0,653363.0,9.9,16343.0,64.0
-1093433514453846397,0,,1,9,9.0,1821184.0,5425.0,3715.0,0.0,16073.0,205187.0,157836.0,19.9,5425.0,42.0
-2342479391170694953,0,,1,1,16.0,530821.0,8329.0,6071.0,12147.0,13322.0,393376.0,275363.0,9.9,8339.0,59.0
-330127410754871235,1,121277.55,3,6,8.0,2428246.0,213352.0,97565.0,0.0,296471.0,2428246.0,577495.0,14.4,57006.0,58.0
2247869018080705329,0,,1,7,14.0,0.0,0.0,20957.0,0.0,38135.0,825604.0,699664.0,11.9,18323.0,59.0
-8220943058821961411,0,,2,2,3.0,6070615.0,21229.0,0.0,12061.0,82175.0,1049002.0,860182.0,7.9,21220.0,16.0
-8339249258774556753,1,34481.1,1,1,14.0,0.0,0.0,22923.0,0.0,46179.0,679909.0,561908.0,11.4,14919.0,10.0
-6978705734346905157,0,,1,6,14.0,2428246.0,18663.0,16996.0,0.0,35001.0,786752.0,666739.0,14.9,18675.0,51.0
-308621990635499048,0,,1,4,13.0,3642369.0,33064.0,0.0,0.0,49999.0,1614784.0,1415235.0,8.4,33071.0,77.0
-2289455184762967692,0,,1,7,13.0,1214123.0,32478.0,911.0,0.0,1821.0,1214123.0,1064087.0,10.9,26337.0,22.0
3487861705076325187,0,,1,4,9.0,3642369.0,29437.0,0.0,0.0,0.0,1455733.0,1275841.0,7.9,29447.0,77.0
-3506296450266498598,0,,1,8,16.0,338511.0,6599.0,2428.0,14753.0,270.0,284105.0,198873.0,13.9,6596.0,71.0
377141127543547866,0,,2,5,15.0,1174673.0,32304.0,0.0,4232.0,0.0,1175271.0,1030036.0,8.9,24913.0,54.0
